Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
Seeded_SFS_Raw,LogReg,0.9833,0.0373,0.3333,51.28
Seeded_SFS_Union,LogReg,0.9167,0.1021,0.2667,41.03
ANOVA_F_TEST,LogReg,0.9083,0.1387,0.2583,39.74
CORRELATION,LogReg,0.9083,0.1387,0.2583,39.74
Sklearn_SFS_Union,LogReg,0.8833,0.095,0.2333,35.89
Sklearn_SFS_Raw,LogReg,0.8833,0.0456,0.2333,35.89
MUTUAL_INFORMATION,LogReg,0.8592,0.054,0.2092,32.18
MUTUAL_INFORMATION,Tree,0.8342,0.0932,0.1842,28.34
CHI_SQUARED,LogReg,0.8183,0.0893,0.1683,25.89
CORRELATION,Tree,0.7933,0.1427,0.1433,22.05
Seeded_SFS_Union,Tree,0.7833,0.1728,0.1333,20.51
Sklearn_SFS_Union,Tree,0.7667,0.0697,0.1167,17.95
ANOVA_F_TEST,Tree,0.7567,0.0713,0.1067,16.42
CHI_SQUARED,Tree,0.7558,0.0998,0.1058,16.28
VARIANCE,LogReg,0.7175,0.1504,0.0675,10.38
None,LogReg,0.65,0.19,0.0,0.0
Sklearn_SFS_Raw,Tree,0.65,0.1603,0.0,0.0
VARIANCE,Tree,0.6142,0.0836,-0.0358,-5.51
None,Tree,0.6,0.1603,-0.05,-7.69
Seeded_SFS_Raw,Tree,0.5667,0.1236,-0.0833,-12.82
